Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2011-12,Qld,Other services,Aids and appliances,Australian Government,Premium rebates,"47,710,869.72","54,659,379.18"
2011-12,Qld,Other services,Aids and appliances,Non-government,Health insurance funds,"92,810,890.18","106,327,670.55"
2011-12,Qld,Other services,Aids and appliances,Non-government,Individuals,"486,195,519.09","557,003,998.98"
2011-12,Qld,Other services,Aids and appliances,Non-government,Other source of funds,"11,518,723.31","13,196,285.64"
2011-12,Qld,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"22,847,000.00","29,017,069.65"
2011-12,Qld,Other services,Patient transport services,Australian Government,DoHAC and other,"14,970,254.01","19,013,126.60"
2011-12,Qld,Other services,Patient transport services,Australian Government,Premium rebates,"69,546.78","88,328.61"
2011-12,Qld,Other services,Patient transport services,Non-government,Health insurance funds,"135,287.80","171,823.68"
2011-12,Qld,Other services,Patient transport services,Non-government,Individuals,0.00,0.00
2011-12,Qld,Other services,Patient transport services,Non-government,Other source of funds,"5,108,950.68","6,488,675.87"
2011-12,Qld,Other services,Patient transport services,State and local government,State and local government,"667,490,787.27","847,174,398.22"
2011-12,Qld,Primary health care,All other medications,Australian Government,DoHAC and other,"105,869,753.49","132,959,021.29"
2011-12,Qld,Primary health care,All other medications,Australian Government,Premium rebates,"4,773,277.12","5,204,787.14"
2011-12,Qld,Primary health care,All other medications,Non-government,Health insurance funds,"9,285,349.46","10,124,756.27"
2011-12,Qld,Primary health care,All other medications,Non-government,Individuals,"1,499,040,392.07","1,634,555,454.65"
2011-12,Qld,Primary health care,All other medications,Non-government,Other source of funds,"6,004,815.05","6,547,657.58"
2011-12,Qld,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"108,529,744.20","126,016,339.00"
2011-12,Qld,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"1,555,987,246.63","1,807,414,145.19"
2011-12,Qld,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"307,986,060.68","357,609,576.22"
2011-12,Qld,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,-858.31,"-1,115.01"
2011-12,Qld,Primary health care,Community health and other,Australian Government,DoHAC and other,"227,135,093.34","288,302,129.56"
2011-12,Qld,Primary health care,Community health and other,Australian Government,Premium rebates,"67,729.14","87,985.01"
2011-12,Qld,Primary health care,Community health and other,Non-government,Health insurance funds,"131,751.99","171,155.27"
2011-12,Qld,Primary health care,Community health and other,Non-government,Individuals,"14,892,000.00","18,913,739.28"
2011-12,Qld,Primary health care,Community health and other,Non-government,Other source of funds,"7,049,499.62","8,982,315.94"
2011-12,Qld,Primary health care,Community health and other,State and local government,State and local government,"1,821,730,387.26","2,313,916,539.57"
2011-12,Qld,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"28,973,673.17","32,439,173.58"
2011-12,Qld,Primary health care,Dental services,Australian Government,DoHAC and other,"174,542,680.52","196,951,714.64"
2011-12,Qld,Primary health care,Dental services,Australian Government,Premium rebates,"123,995,517.07","138,826,446.93"
2011-12,Qld,Primary health care,Dental services,Non-government,Health insurance funds,"241,205,712.33","270,055,989.24"
2011-12,Qld,Primary health care,Dental services,Non-government,Individuals,"539,205,082.90","603,698,646.50"
2011-12,Qld,Primary health care,Dental services,Non-government,Other source of funds,"4,136,194.12","5,114,740.94"
2011-12,Qld,Primary health care,Dental services,State and local government,State and local government,"188,307,424.83","239,161,800.78"
2011-12,Qld,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"64,828,783.83","86,749,433.41"
2011-12,Qld,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"202,377,598.24","268,664,252.97"
2011-12,Qld,Primary health care,Other health practitioners,Australian Government,Premium rebates,"55,172,641.60","73,828,245.97"
2011-12,Qld,Primary health care,Other health practitioners,Non-government,Health insurance funds,"107,326,108.50","143,616,439.36"
2011-12,Qld,Primary health care,Other health practitioners,Non-government,Individuals,"492,874,804.80","659,531,268.85"
2011-12,Qld,Primary health care,Other health practitioners,Non-government,Other source of funds,"55,469,300.33","74,225,214.34"
2011-12,Qld,Primary health care,Public health,Australian Government,DoHAC and other,"327,084,989.19","415,417,687.83"
2011-12,Qld,Primary health care,Public health,Non-government,Individuals,"15,799,000.00","20,065,684.05"
2011-12,Qld,Primary health care,Public health,Non-government,Other source of funds,0.00,0.00
2011-12,Qld,Primary health care,Public health,State and local government,State and local government,"84,456,417.52","107,264,750.29"
2011-12,Qld,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"44,551,474.49","51,190,496.99"
2011-12,Qld,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"1,364,219,389.17","1,598,493,752.31"
2011-12,Qld,Primary health care,Unreferred medical services,Non-government,Individuals,"135,824,145.00","156,064,542.53"
2011-12,Qld,Primary health care,Unreferred medical services,Non-government,Other source of funds,"151,413,841.75","173,977,402.51"
2011-12,Qld,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"253,064,835.62","290,776,340.26"
2011-12,Qld,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"2,019,071,511.00","2,319,951,814.89"
2011-12,Qld,Referred medical services,Referred medical services,Australian Government,Premium rebates,"117,532,152.35","135,046,692.83"
2011-12,Qld,Referred medical services,Referred medical services,Non-government,Health insurance funds,"228,632,672.95","262,703,317.67"
2011-12,Qld,Referred medical services,Referred medical services,Non-government,Individuals,"457,019,604.70","525,124,274.00"
2011-12,Qld,Research,Research,Australian Government,DoHAC and other,"703,496,457.50","913,261,372.63"
2011-12,Qld,Research,Research,Non-government,Other source of funds,"53,305,051.38","69,247,079.34"
2011-12,Qld,Research,Research,State and local government,State and local government,"154,595,507.90","196,776,607.11"
2011-12,SA,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"19,651,405.51","20,954,196.66"
2011-12,SA,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"78,757,399.11","91,941,779.90"
2011-12,SA,Capital expenditure,Capital expenditure,State and local government,State and local government,"311,000,000.00","381,023,356.05"
2011-12,SA,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"46,555,177.25","59,696,227.42"
2011-12,SA,Hospitals,Private hospitals,Australian Government,DoHAC and other,"11,069,764.44","14,180,713.11"
2011-12,SA,Hospitals,Private hospitals,Australian Government,Premium rebates,"190,766,134.91","244,613,365.19"
2011-12,SA,Hospitals,Private hospitals,Non-government,Health insurance funds,"371,109,666.24","475,862,156.35"
2011-12,SA,Hospitals,Private hospitals,Non-government,Individuals,"84,738,972.95","108,658,097.76"
2011-12,SA,Hospitals,Private hospitals,Non-government,Other source of funds,"25,029,520.68","32,094,560.63"
2011-12,SA,Hospitals,Private hospitals,State and local government,State and local government,"4,141,162.51","5,310,081.36"
2011-12,SA,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"67,499,966.46","86,553,066.42"
2011-12,SA,Hospitals,Public hospital services,Australian Government,DoHAC and other,"1,195,803,498.05","1,533,202,709.72"
2011-12,SA,Hospitals,Public hospital services,Australian Government,Premium rebates,"16,912,006.10","21,685,729.11"
2011-12,SA,Hospitals,Public hospital services,Non-government,Health insurance funds,"32,900,016.26","42,186,647.52"
2011-12,SA,Hospitals,Public hospital services,Non-government,Individuals,"37,031,267.55","47,484,020.04"
2011-12,SA,Hospitals,Public hospital services,Non-government,Other source of funds,"96,692,253.68","123,985,410.58"
2011-12,SA,Hospitals,Public hospital services,State and local government,State and local government,"2,064,498,122.71","2,647,313,591.18"
2011-12,SA,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"45,019,719.03","59,505,206.96"
2011-12,SA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-45,019,719.03","-59,505,206.96"
2011-12,SA,Other services,Administration,Australian Government,DoHAC and other,"108,458,379.69","142,067,691.51"
2011-12,SA,Other services,Administration,Australian Government,Premium rebates,"41,380,467.40","54,694,994.32"
2011-12,SA,Other services,Administration,Non-government,Health insurance funds,"80,496,499.80","106,396,951.89"
2011-12,SA,Other services,Administration,Non-government,Individuals,0.00,0.00
2011-12,SA,Other services,Administration,Non-government,Other source of funds,0.00,0.00
2011-12,SA,Other services,Administration,State and local government,State and local government,0.00,0.00
2011-12,SA,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"1,643.23","1,882.55"
2011-12,SA,Other services,Aids and appliances,Australian Government,DoHAC and other,"33,061,421.09","42,385,084.66"
2011-12,SA,Other services,Aids and appliances,Australian Government,Premium rebates,"20,521,293.67","23,509,971.17"
2011-12,SA,Other services,Aids and appliances,Non-government,Health insurance funds,"39,919,614.60","45,733,422.25"
2011-12,SA,Other services,Aids and appliances,Non-government,Individuals,"151,748,491.98","173,848,819.16"
2011-12,SA,Other services,Aids and appliances,Non-government,Other source of funds,"15,027,548.45","17,216,128.60"
2011-12,SA,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"7,100,000.00","9,104,104.84"
2011-12,SA,Other services,Patient transport services,Australian Government,DoHAC and other,"6,591,183.33","8,451,665.37"
2011-12,SA,Other services,Patient transport services,Australian Government,Premium rebates,"6,542,170.57","8,388,817.85"
2011-12,SA,Other services,Patient transport services,Non-government,Health insurance funds,"12,726,338.40","16,318,580.16"
2011-12,SA,Other services,Patient transport services,Non-government,Individuals,"74,938,446.58","96,091,193.59"
2011-12,SA,Other services,Patient transport services,Non-government,Other source of funds,"7,818,187.32","10,025,013.67"
2011-12,SA,Other services,Patient transport services,State and local government,State and local government,"187,061,043.15","239,919,928.58"
2011-12,SA,Primary health care,All other medications,Australian Government,DoHAC and other,"42,303,099.59","53,256,039.35"
2011-12,SA,Primary health care,All other medications,Australian Government,Premium rebates,"2,086,001.24","2,261,967.51"
2011-12,SA,Primary health care,All other medications,Non-government,Health insurance funds,"4,057,851.67","4,400,154.92"
2011-12,SA,Primary health care,All other medications,Non-government,Individuals,"587,840,516.38","637,428,263.23"
2011-12,SA,Primary health care,All other medications,Non-government,Other source of funds,"5,867,469.35","6,362,424.32"
2011-12,SA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"36,198,145.13","42,030,484.47"
2011-12,SA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"652,042,649.65","757,400,696.18"
2011-12,SA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"122,811,570.96","142,599,290.86"
